fecha_export,pipeline_id,embudo,es_credito,orden,stage_id,etapa
2026-08-07,2,Benestare,False,1,6,[BN] Ingreso
2026-08-07,2,Benestare,False,2,7,Contactado
2026-08-07,2,Benestare,False,3,8,En Perfilamiento
2026-08-07,2,Benestare,False,4,9,Calificados
2026-08-07,2,Benestare,False,5,10,Cita Programada
2026-08-07,2,Benestare,False,6,11,[BN] Visita Efectiva
2026-08-07,2,Benestare,False,7,12,En Decisión
2026-08-07,2,Benestare,False,8,13,Reserva
2026-08-07,3,Bosque Las Tapias,False,1,14,[BLT] Ingreso
2026-08-07,3,Bosque Las Tapias,False,2,15,Contactado
2026-08-07,3,Bosque Las Tapias,False,3,16,En Perfilamiento
2026-08-07,3,Bosque Las Tapias,False,4,17,Calificados
2026-08-07,3,Bosque Las Tapias,False,5,18,Cita Programada
2026-08-07,3,Bosque Las Tapias,False,6,19,Visita Efectiva [BLT]
2026-08-07,3,Bosque Las Tapias,False,7,20,En Decisión
2026-08-07,3,Bosque Las Tapias,False,8,21,Reserva
2026-08-07,4,Boulevard5,False,1,22,[BLV5] Ingreso
2026-08-07,4,Boulevard5,False,2,23,Contactado
2026-08-07,4,Boulevard5,False,3,24,En Perfilamiento
2026-08-07,4,Boulevard5,False,4,25,Calificados
2026-08-07,4,Boulevard5,False,5,26,Cita Programada
2026-08-07,4,Boulevard5,False,6,27,Visita Efectiva [BLV5]
2026-08-07,4,Boulevard5,False,7,28,En Decisión
2026-08-07,4,Boulevard5,False,8,29,Reserva
2026-08-07,5,Santa Elena,False,1,30,[Santa Elena] Ingreso
2026-08-07,5,Santa Elena,False,2,31,Contactado
2026-08-07,5,Santa Elena,False,3,32,En Perfilamiento
2026-08-07,5,Santa Elena,False,4,33,Calificados
2026-08-07,5,Santa Elena,False,5,34,Cita Programada
2026-08-07,5,Santa Elena,False,6,35,Visita Efectiva [Santa Elena]
2026-08-07,5,Santa Elena,False,7,36,En Decisión
