Apto,Estatus,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,TOTAL,a,b,c,"Cant.
Cuotas"," Valor
Cuotas"
101,4.Plan de pagos," 6,000.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,670.00 "," 1,720.00 ",,,,,,,,,,,,,,,,," 64,500.00 ", -   ," 64,500.00 ",0,36," 1,791.67 "
102,2.Reserva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-122,891.50 ", -   ,0,0, -   
103,4.Plan de pagos,,,,,," 6,000.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,261.00 "," 5,273.00 ",,,,,,,,,,,,,,,,,,," 153,320.00 ", -   ," 153,320.00 ",0,29," 5,286.90 "
104,4.Plan de pagos,,,,,," 100,000.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 "," 1,824.00 ",,,,,,,,,,,,,,,,,,,,,," 145,600.00 ", -   ," 145,600.00 ",0,26," 5,600.00 "
105,2.Reserva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-118,460.34 ", -   ,0,0, -   
106,2.Reserva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-138,231.01 ", -   ,0,0, -   
107,1.Disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-113,117.23 ", -   ,0,0, -   
108,1.Disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-131,519.98 ", -   ,0,0, -   
109,4.Plan de pagos,,,,,,,,,,,,,,,," 5,000.00 "," 5,000.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,704.00 "," 7,708.00 ",,,,,,,,,,,,,,,,,," 148,676.00 ", -   ," 148,676.00 ",0,20," 7,433.80 "
110,4.Plan de pagos,,,,," 6,000.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,388.00 "," 2,400.00 ",,,,,,,,,,,,,,,,,,,,,," 68,100.00 ", -   ," 68,100.00 ",0,27," 2,522.22 "
111,4.Plan de pagos," 6,000.00 "," 1,000.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 1,820.00 "," 2,640.00 ",,,,,,,,,,,,,,,,," 69,700.00 ", -   ," 69,700.00 ",0,36," 1,936.11 "
112,4.Plan de pagos," 6,000.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 1,800.00 "," 2,700.00 ",,,,,,,,,,,,,,,,," 69,900.00 ", -   ," 69,900.00 ",0,36," 1,941.67 "
113,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,," 10,000.00 "," 470,006.24 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 480,006.24 ", 0.20 ," 480,006.24 ",0,2," 240,003.12 "
114,4.Plan de pagos," 6,000.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,669.00 "," 2,679.75 ",,,,,,,,,,,,,,,,," 99,425.75 ", -   ," 99,425.75 ",0,36," 2,761.83 "
201,1.Disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-132,993.13 ", -   ,0,0, -   
202,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,,,," 10,000.00 "," 8,731.00 "," 8,731.00 "," 8,731.00 "," 8,731.00 "," 8,731.00 "," 8,731.00 "," 8,731.00 "," 8,731.00 "," 8,731.00 "," 8,731.00 "," 8,731.00 "," 8,731.00 "," 8,731.00 "," 8,727.19 ",,,,,,,,,,,,,," 132,230.19 ", -   ," 132,230.19 ",0,15," 8,815.35 "
203,1.Disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-127,392.80 ", -   ,0,0, -   
204,4.Plan de pagos,,,,,,,,,,,,,,,,,,,," 10,000.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,821.00 "," 4,817.00 ",,,,,,,,,,,,,," 101,595.00 ", -   ," 101,595.00 ",0,20," 5,079.75 "
205,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,," 10,000.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,903.00 "," 7,910.82 ",,,,,,,,,,,,,," 136,455.82 ", -   ," 136,455.82 ",0,17," 8,026.81 "
206,1.Disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-102,123.45 ", -   ,0,0, -   
207,1.Disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-141,422.85 ", -   ,0,0, -   
208,1.Disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-141,446.23 ", -   ,0,0, -   
209,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,,,,,,," 15,000.00 "," 185,104.00 ",,,,,,,,,,,,,,,,,,,,,,,," 200,104.00 "," 71,862.89 "," 200,104.00 ",0,2," 100,052.00 "
210,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 15,000.00 "," 8,731.66 "," 8,731.66 "," 8,731.66 "," 8,731.66 "," 8,731.66 "," 8,731.66 "," 8,731.66 "," 8,731.66 "," 8,731.66 "," 8,731.66 "," 8,731.66 ",,,,,,,,,,,,," 111,048.26 "," 7,296.08 "," 111,048.26 ",0,12," 9,254.02 "
211,1.Disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-154,362.70 ", -   ,0,0, -   
212,4.Plan de pagos,,,,,,,,," 8,000.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,888.00 "," 2,889.50 ",,,,,,,,,,,,,,,,,,,,,," 71,537.50 ", -   ," 71,537.50 ",0,23," 3,110.33 "
213,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,,," 10,000.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,420.00 "," 4,418.74 ",,,,,,,,,,,,," 80,718.74 ", -   ," 80,718.74 ",0,17," 4,748.16 "
214,4.Plan de pagos,,,,,,,,," 5,500.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.50 ",,,,,,,,,,,,,,,,,,,,,," 72,072.50 ", -   ," 72,072.50 ",0,23," 3,133.59 "
215,4.Plan de pagos,,,,,,,,,,,,," 8,000.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,922.00 "," 4,926.00 ",,,,,,,,,,,,,,,,,,,,,," 96,600.00 ", -   ," 96,600.00 ",0,19," 5,084.21 "
216,4.Plan de pagos,,,,,,,,,,,,," 8,000.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 5,006.00 "," 4,998.00 ",,,,,,,,,,,,,,,,,,,,,," 98,100.00 ", -   ," 98,100.00 ",0,19," 5,163.16 "
301,4.Plan de pagos,,,,,,,,,,,,,,,,," 10,000.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 "," 6,900.00 ",,,,,,,,,,,,,,,,,,," 127,300.00 ", -   ," 127,300.00 ",0,18," 7,072.22 "
302,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-137,342.44 ", -   ,0,0, -   
303,2. Reserva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-93,491.84 ", -   ,0,0, -   
304,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,,,," 10,000.00 "," 5,244.00 "," 5,244.00 "," 5,244.00 "," 5,244.00 "," 5,244.00 "," 5,244.00 "," 5,244.00 "," 5,244.00 "," 5,244.00 "," 5,244.00 "," 5,244.00 "," 5,244.00 "," 5,244.00 "," 5,243.20 ",,,,,,,,,,,,,," 83,415.20 ", -   ," 83,415.20 ",0,15," 5,561.01 "
305,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,,,,," 15,000.00 "," 3,500.00 "," 3,500.00 "," 15,000.00 "," 3,500.00 "," 3,500.00 "," 3,500.00 "," 3,500.00 "," 20,000.00 "," 3,500.00 "," 3,500.00 "," 3,500.00 "," 3,500.00 "," 26,265.61 ",,,,,,,,,,,,,," 111,265.61 ", 19.05 ," 111,265.61 ",0,14," 7,947.54 "
306,2.Reserva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-110,404.76 ", -   ,0,0, -   
307,2.Reserva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-105,646.23 ", -   ,0,0, -   
308,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,,,," 10,000.00 "," 6,666.00 "," 6,666.00 "," 6,666.00 "," 6,666.00 "," 6,666.00 "," 6,666.00 "," 6,666.00 "," 6,666.00 "," 6,666.00 "," 6,666.00 "," 6,666.00 "," 6,666.00 "," 6,666.00 "," 6,670.19 ",,,,,,,,,,,,,," 103,328.19 ", -   ," 103,328.19 ",0,15," 6,888.55 "
309,4.Plan de pagos,,,,,,,,,,,,,,,,,," 5,000.00 "," 2,500.00 "," 2,500.00 "," 2,500.00 "," 27,500.00 "," 2,500.00 "," 2,500.00 "," 2,500.00 "," 2,500.00 "," 2,500.00 "," 2,500.00 "," 2,500.00 "," 37,500.00 "," 2,500.00 "," 2,500.00 "," 2,500.00 "," 32,590.00 ",,,,,,,,,,,,,,,,,,," 135,090.00 ", -   ," 135,090.00 ",0,17," 7,946.47 "
310,2.Reserva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-102,123.45 ", -   ,0,0, -   
311,4.Plan de pagos,,,,,,,,,,,,,,,,,,," 10,000.00 ",," 129,140.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 139,140.00 ", -   ," 139,140.00 ",0,2," 69,570.00 "
312,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,," 8,000.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,851.00 "," 7,846.32 ",,,,,,,,,,,,," 141,462.32 ", -   ," 141,462.32 ",0,18," 7,859.02 "
313,4.Plan de pagos,,,,,,,,,,,,,,," 28,000.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,253.00 "," 4,246.00 ",,,,,,,,,,,,,,,,,,," 108,800.00 ", -   ," 108,800.00 ",0,20," 5,440.00 "
314,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-103,752.18 ", -   ,0,0, -   
315,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,,,,," 10,000.00 "," 11,110.00 "," 11,110.00 "," 11,110.00 "," 11,110.00 "," 11,110.00 "," 11,110.00 "," 11,110.00 "," 11,110.00 "," 11,110.00 "," 11,110.00 "," 11,110.00 "," 11,110.00 "," 11,106.98 ",,,,,,,,,,,,,," 154,426.98 ", 64.28 ," 154,426.98 ",0,14," 11,030.50 "
316,4.Plan de pagos,,,,,,,," 8,000.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,735.00 "," 2,726.44 ",,,,,,,,,,,,,,,,,,,,,," 70,896.44 ", -   ," 70,896.44 ",0,24," 2,954.02 "
317,4.Plan de pagos,,,,,,,,," 5,500.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,031.00 "," 3,036.50 ",,,,,,,,,,,,,,,,,,,,,," 72,187.50 ", -   ," 72,187.50 ",0,23," 3,138.59 "
318,4.Plan de pagos,,,,,,,,," 5,500.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.00 "," 3,026.50 ",,,,,,,,,,,,,,,,,,,,,," 72,072.50 ", -   ," 72,072.50 ",0,23," 3,133.59 "
319,4.Plan de pagos,,,,,,,,,,,," 8,000.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,663.00 "," 4,666.00 ",,,,,,,,,,,,,,,,,,,,,," 96,600.00 ", -   ," 96,600.00 ",0,20," 4,830.00 "
320,4.Plan de pagos,,,,,," 6,000.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 "," 3,684.00 ",,,,,,,,,,,,,,,,,,,,,," 98,100.00 ", -   ," 98,100.00 ",0,26," 3,773.08 "
401,4.Plan de pagos,,,,,,,,,,," 8,000.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 "," 5,370.00 ",,,,,,,,,,,,,,,,,,,,,," 115,400.00 ", -   ," 115,400.00 ",0,21," 5,495.24 "
